[18:13:06] done=0 fail=0 | W0:writing(128s,2.7s) W1:writing(130s,3.1s) W2:writing(128s,2.9s) W3:writing(127s,2.8s) W4:writing(126s,2.8s) W5:writing(128s,2.8s) W6:writing(129s,2.8s) W7:writing(127s,2.8s) W8:writing(129s,2.9s) W9:writing(127s,2.6s)
[18:13:09] done=0 fail=0 | W0:writing(131s,2.7s) W1:writing(133s,3.1s) W2:writing(131s,2.9s) W3:writing(130s,2.8s) W4:writing(129s,2.8s) W5:writing(131s,2.8s) W6:writing(132s,2.8s) W7:writing(130s,2.8s) W8:writing(132s,2.9s) W9:writing(130s,2.6s)
[18:13:12] done=0 fail=0 | W0:writing(134s,2.7s) W1:writing(136s,3.1s) W2:writing(134s,2.9s) W3:writing(133s,2.8s) W4:writing(132s,2.8s) W5:writing(134s,2.8s) W6:writing(135s,2.8s) W7:writing(133s,2.8s) W8:writing(135s,2.9s) W9:writing(133s,2.6s)
[18:13:15] done=0 fail=0 | W0:writing(137s,2.7s) W1:writing(139s,3.1s) W2:writing(137s,2.9s) W3:writing(136s,2.8s) W4:writing(135s,2.8s) W5:writing(137s,2.8s) W6:writing(138s,2.8s) W7:writing(136s,2.8s) W8:writing(138s,2.9s) W9:writing(136s,2.6s)
[18:13:18] done=0 fail=0 | W0:writing(140s,2.7s) W1:writing(142s,3.1s) W2:writing(140s,2.9s) W3:writing(139s,2.8s) W4:writing(138s,2.8s) W5:writing(140s,2.8s) W6:writing(141s,2.8s) W7:writing(139s,2.8s) W8:writing(141s,2.9s) W9:writing(139s,2.6s)
[18:13:21] done=0 fail=0 | W0:writing(143s,2.7s) W1:writing(145s,3.1s) W2:writing(143s,2.9s) W3:writing(142s,2.8s) W4:writing(141s,2.8s) W5:writing(143s,2.8s) W6:writing(144s,2.8s) W7:writing(142s,2.8s) W8:writing(144s,2.9s) W9:writing(142s,2.6s)
[18:13:24] done=0 fail=0 | W0:writing(146s,2.7s) W1:writing(148s,3.1s) W2:writing(146s,2.9s) W3:writing(145s,2.8s) W4:writing(144s,2.8s) W5:writing(146s,2.8s) W6:writing(147s,2.8s) W7:writing(145s,2.8s) W8:writing(147s,2.9s) W9:writing(145s,2.6s)
[18:13:27] done=0 fail=0 | W0:writing(149s,2.7s) W1:writing(151s,3.1s) W2:writing(149s,2.9s) W3:writing(148s,2.8s) W4:writing(147s,2.8s) W5:writing(149s,2.8s) W6:writing(150s,2.8s) W7:writing(148s,2.8s) W8:writing(150s,2.9s) W9:writing(148s,2.6s)
[18:13:30] done=0 fail=0 | W0:writing(152s,2.7s) W1:writing(154s,3.1s) W2:writing(152s,2.9s) W3:writing(151s,2.8s) W4:writing(150s,2.8s) W5:writing(152s,2.8s) W6:writing(153s,2.8s) W7:writing(151s,2.8s) W8:writing(153s,2.9s) W9:writing(151s,2.6s)
[18:13:33] done=0 fail=0 | W0:writing(155s,2.7s) W1:writing(157s,3.1s) W2:writing(155s,2.9s) W3:writing(154s,2.8s) W4:writing(153s,2.8s) W5:writing(155s,2.8s) W6:writing(156s,2.8s) W7:writing(154s,2.8s) W8:writing(156s,2.9s) W9:writing(154s,2.6s)
[18:13:36] done=0 fail=0 | W0:writing(158s,2.7s) W1:writing(160s,3.1s) W2:writing(158s,2.9s) W3:writing(157s,2.8s) W4:writing(156s,2.8s) W5:writing(158s,2.8s) W6:writing(159s,2.8s) W7:writing(157s,2.8s) W8:writing(159s,2.9s) W9:writing(157s,2.6s)
